goal,target,indicator,indicator_description,us_fedstats_available,data_source,agency,url,unsd_proposed_tier,,possible_custodian
1,"Ziel    1.a       Eine erhebliche Mobilisierung von Ressourcen aus einer Vielzahl von Quellen gewaehrleisten, einschliesslich durch verbesserte Entwicklungszusammenarbeit, um den Entwicklungslaendern und insbesondere den am wenigsten entwickelten Laendern ausreichende und berechenbare Mittel fuer die Umsetzung von Programmen und Politiken zur Beendigung der Armut in all ihren Dimensionen bereitzustellen",1.a.1,"1.a.1  Anteil der inlaendisch erwirtschafteten Ressourcen, die vom Staat direkt fuer Programme zur Armutsbekaempfung verwendet werden",,,,,,,
1,"Ziel    1.a       Eine erhebliche Mobilisierung von Ressourcen aus einer Vielzahl von Quellen gewaehrleisten, einschliesslich durch verbesserte Entwicklungszusammenarbeit, um den Entwicklungslaendern und insbesondere den am wenigsten entwickelten Laendern ausreichende und berechenbare Mittel fuer die Umsetzung von Programmen und Politiken zur Beendigung der Armut in all ihren Dimensionen bereitzustellen",1.a.2,"1.a.2  Anteil der staatlichen Ausgaben fuer Grundleistungen (Bildung, Gesundheit und soziale Sicherung)",,,,,,,
1,"Ziel    1.a       Eine erhebliche Mobilisierung von Ressourcen aus einer Vielzahl von Quellen gewaehrleisten, einschliesslich durch verbesserte Entwicklungszusammenarbeit, um den Entwicklungslaendern und insbesondere den am wenigsten entwickelten Laendern ausreichende und berechenbare Mittel fuer die Umsetzung von Programmen und Politiken zur Beendigung der Armut in all ihren Dimensionen bereitzustellen",1.a.3,"1.a.3  Gesamtsumme an Beihilfen und sonstigen schuldenfreien Finanzmitteln, die direkt fuer Programme zur Armutsbekaempfung verwendet werden, im Verhaeltnis zum BIPÿ",,,,,,,
1,"Ziel    1.b       Auf nationaler, regionaler und internationaler Ebene solide politische Rahmen auf der Grundlage armutsorientierter und geschlechtersensibler Entwicklungsstrategien schaffen, um beschleunigte Investitionen in Massnahmen zur Beseitigung der Armut zu unterstuetzen",1.b.1,"1.b.1  Anteil der staatlichen Investitionsausgaben in Sektoren, die ueberdurchschnittlich Frauen, arme und benachteiligte Gruppen beguenstigen",,,,,,,
2,"Ziel    2.1       Bis 2030 den Hunger beenden und sicherstellen, dass alle Menschen, insbesondere die Armen und Menschen in prekaeren Situationen, einschliesslich Kleinkindern, ganzjaehrig Zugang zu sicheren, naehrstoffreichen und ausreichenden Nahrungsmitteln haben",2.1.1,2.1.1  Praevalenz von Unterernaehrung,,,,,,,
2,"Ziel    2.1       Bis 2030 den Hunger beenden und sicherstellen, dass alle Menschen, insbesondere die Armen und Menschen in prekaeren Situationen, einschliesslich Kleinkindern, ganzjaehrig Zugang zu sicheren, naehrstoffreichen und ausreichenden Nahrungsmitteln haben",2.1.2,"2.1.2  Praevalenz von mittlerer oder schwerer Ernaehrungsunsicherheit in der Bevoelkerung, basierend auf der FIES (Food Insecurity Experience Scale)",,,,,,,
2,"Ziel    2.2       Bis 2030 alle Formen der Mangelernaehrung beenden, einschliesslich durch Erreichung der international vereinbarten Zielvorgaben in Bezug auf Wachstumshemmung und Auszehrung bei Kindern unter 5 Jahren bis 2025, und den Ernaehrungsbeduerfnissen von heranwachsenden Maedchen, schwangeren und stillenden Frauen und aelteren Menschen Rechnung tragen",2.2.1,2.2.1  Praevalenz von Kleinwuchs (Groesse fuer das Alter < -2 Standardabweichung vom Median der Wachstumskurven bei Kindern der Weltgesundheitsorganisation (WHO)) bei Kindern unter 5 Jahren,,,,,,,
2,"Ziel    2.2       Bis 2030 alle Formen der Mangelernaehrung beenden, einschliesslich durch Erreichung der international vereinbarten Zielvorgaben in Bezug auf Wachstumshemmung und Auszehrung bei Kindern unter 5 Jahren bis 2025, und den Ernaehrungsbeduerfnissen von heranwachsenden Maedchen, schwangeren und stillenden Frauen und aelteren Menschen Rechnung tragen",2.2.2,"2.2.2  Praevalenz von Fehlernaehrung (Gewicht fuer die Groesse > +2 oder < -2 Standardabweichung vom Median der WHO-Wachstumskurven fuer Kinder) bei Kindern unter 5 Jahren, nach der Art (Schwund und uebergewicht)",,,,,,,
2,"Ziel    2.3       Bis 2030 die landwirtschaftliche Produktivitaet und die Einkommen von kleinen Nahrungsmittel-produzenten, insbesondere von Frauen, Angehoerigen indigener Voelker, landwirtschaftlichen Familienbetrieben, Weidetierhaltern und Fischern, verdoppeln, unter anderem durch den sicheren und gleichberechtigten Zugang zu Grund und Boden, anderen Produktionsressourcen und Betriebsmitteln, Wissen, Finanzdienstleistungen, Maerkten sowie Moeglichkeiten fuer Wertschoepfung und ausserlandwirtschaftliche Beschaeftigung",2.3.1,2.3.1  Produktionsvolumen pro Arbeitskraft nach Unternehmensgroessenklassen in Land-/Weide-/Forstwirtschaft,,,,,,,
2,"Ziel    2.3       Bis 2030 die landwirtschaftliche Produktivitaet und die Einkommen von kleinen Nahrungsmittel-produzenten, insbesondere von Frauen, Angehoerigen indigener Voelker, landwirtschaftlichen Familienbetrieben, Weidetierhaltern und Fischern, verdoppeln, unter anderem durch den sicheren und gleichberechtigten Zugang zu Grund und Boden, anderen Produktionsressourcen und Betriebsmitteln, Wissen, Finanzdienstleistungen, Maerkten sowie Moeglichkeiten fuer Wertschoepfung und ausserlandwirtschaftliche Beschaeftigung",2.3.2,"2.3.2  Durchschnittliches Einkommen kleiner Nahrungsmittelproduzenten, nach Geschlecht und Herkunftsstatus",,,,,,,
2,"Ziel    2.4       Bis 2030 die Nachhaltigkeit der Systeme der Nahrungsmittelproduktion sicherstellen und  resiliente landwirtschaftliche Methoden anwenden, die die Produktivitaet und den Ertrag steigern, zur Erhaltung der oekosysteme beitragen, die Anpassungsfaehigkeit an Klimaaenderungen, extreme Wetterereignisse, Duerren, ueberschwemmungen und andere Katastrophen erhoehen und die Flaechen- und Bodenqualitaet schrittweise verbessern",2.4.1,2.4.1  Anteil landwirtschaftlicher Flaechen unter produktiver und nachhaltiger Bewirtschaftung,,,,,,,
2,"Ziel    2.5       Bis 2020 die genetische Vielfalt von Saatgut, Kulturpflanzen sowie Nutz- und Haustieren und ihren wildlebenden Artverwandten bewahren, unter anderem durch gut verwaltete und diversifizierte Saatgut- und Pflanzenbanken auf nationaler, regionaler und internationaler Ebene, und den Zugang zu den Vorteilen aus der Nutzung der genetischen Ressourcen und des damit verbundenen traditionellen Wissens sowie die ausgewogene und gerechte Aufteilung dieser Vorteile foerdern, wie auf internationaler Ebene vereinbart",2.5.1,"2.5.1  Anzahl der pflanzen- und tiergenetischen Ressourcen fuer Ernaehrung und Landwirtschaft, die entweder mittel- oder langfristig konserviert werden",,,,,,,
2,"Ziel    2.5       Bis 2020 die genetische Vielfalt von Saatgut, Kulturpflanzen sowie Nutz- und Haustieren und ihren wildlebenden Artverwandten bewahren, unter anderem durch gut verwaltete und diversifizierte Saatgut- und Pflanzenbanken auf nationaler, regionaler und internationaler Ebene, und den Zugang zu den Vorteilen aus der Nutzung der genetischen Ressourcen und des damit verbundenen traditionellen Wissens sowie die ausgewogene und gerechte Aufteilung dieser Vorteile foerdern, wie auf internationaler Ebene vereinbart",2.5.2,"2.5.2  Anteil der einheimischen Arten, die klassifiziert sind als gefaehrdet, nicht gefaehrdet oder deren Gefaehrdungskategorie unbekannt ist",,,,,,,
2,"Ziel    2.a       Die Investitionen in die laendliche Infrastruktur, die Agrarforschung und landwirtschaftliche Beratungsdienste, die Technologieentwicklung sowie Genbanken fuer Pflanzen und Nutztiere erhoehen, unter anderem durch verstaerkte internationale Zusammenarbeit, um die landwirtschaftliche Produktionskapazitaet in den Entwicklungslaendern und insbesondere den am wenigsten entwickelten Laendern zu verbessern",2.a.1,"2.a.1  Der ""Agriculture Orientation Index"" zu staatlichen Agrarausgaben",,,,,,,
2,"Ziel    2.a       Die Investitionen in die laendliche Infrastruktur, die Agrarforschung und landwirtschaftliche Beratungsdienste, die Technologieentwicklung sowie Genbanken fuer Pflanzen und Nutztiere erhoehen, unter anderem durch verstaerkte internationale Zusammenarbeit, um die landwirtschaftliche Produktionskapazitaet in den Entwicklungslaendern und insbesondere den am wenigsten entwickelten Laendern zu verbessern",2.a.2,2.a.2  oeffentliche Leistungen insgesamt (oeffentliche Entwicklungsausgaben plus sonstige oeffentliche Ausgaben) fuer den Landwirtschaftssektor,,,,,,,
2,"Ziel    2.b       Handelsbeschraenkungen und -verzerrungen auf den globalen Agrarmaerkten korrigieren und verhindern, unter anderem durch die parallele Abschaffung aller Formen von Agrarexportsubventionen und aller Exportmassnahmen mit gleicher Wirkung im Einklang mit dem Mandat der Doha-Entwicklungsrunde",2.b.1,2.b.1  Ausfuhrsubventionen fuer landwirtschaftliche Gueter,,,,,,,
2,"Ziel    2.c       Massnahmen zur Gewaehrleistung des reibungslosen Funktionierens der Maerkte fuer Nahrungsmittelrohstoffe und ihre Derivate ergreifen und den raschen Zugang zu Marktinformationen, unter anderem ueber Nahrungsmittelreserven, erleichtern, um zur Begrenzung der extremen Schwankungen der Nahrungsmittelpreise beizutragen",2.c.1,2.c.1  Indikator zu Preisanomalien bei Lebensmitteln,,,,,,,
3,Ziel    3.1       Bis 2030 die weltweite Muettersterblichkeit auf unter 70 je 100.000 Lebendgeburten senken,3.1.1,3.1.1  Muettersterblichkeitsrate,,,,,,,
3,Ziel    3.1       Bis 2030 die weltweite Muettersterblichkeit auf unter 70 je 100.000 Lebendgeburten senken,3.1.2,3.1.2  Anteil der Geburten unter Aufsicht von qualifiziertem Gesundheitspersonal,,,,,,,
3,"Ziel    3.2       Bis 2030 den vermeidbaren Todesfaellen bei Neugeborenen und Kindern unter 5 Jahren ein Ende setzen, mit dem von allen Laendern zu verfolgenden Ziel, die Sterblichkeit bei Neugeborenen mindestens auf 12 je 1.000 Lebendgeburten und bei Kindern unter 5 Jahren mindestens auf 25 je 1.000 Lebendgeburten zu senken",3.2.1,3.2.1  Kindersterblichkeitsrate unter 5 Jahren,,,,,,,
3,"Ziel    3.2       Bis 2030 den vermeidbaren Todesfaellen bei Neugeborenen und Kindern unter 5 Jahren ein Ende setzen, mit dem von allen Laendern zu verfolgenden Ziel, die Sterblichkeit bei Neugeborenen mindestens auf 12 je 1.000 Lebendgeburten und bei Kindern unter 5 Jahren mindestens auf 25 je 1.000 Lebendgeburten zu senken",3.2.2,3.2.2  Neugeborenensterblichkeitsrate,,,,,,,
3,"Ziel    3.3       Bis 2030 die Aids-, Tuberkulose- und Malariaepidemien und die vernachlaessigten Tropenkrankheiten beseitigen und Hepatitis, durch Wasser uebertragene Krankheiten und andere uebertragbare Krankheiten bekaempfen",3.3.1,"3.3.1  Anzahl der Neuinfektionen mit HIV pro 1.000 nichtinfizierter Einwohner, nach Geschlecht, Alter und Schluesselpopulationen",,,,,,,
3,"Ziel    3.3       Bis 2030 die Aids-, Tuberkulose- und Malariaepidemien und die vernachlaessigten Tropenkrankheiten beseitigen und Hepatitis, durch Wasser uebertragene Krankheiten und andere uebertragbare Krankheiten bekaempfen",3.3.2,3.3.2  Tuberkulose-Inzidenz pro 100.000 Einwohner,,,,,,,
3,"Ziel    3.3       Bis 2030 die Aids-, Tuberkulose- und Malariaepidemien und die vernachlaessigten Tropenkrankheiten beseitigen und Hepatitis, durch Wasser uebertragene Krankheiten und andere uebertragbare Krankheiten bekaempfen",3.3.3,3.3.3  Malaria-Inzidenz pro 1.000 Einwohner,,,,,,,
3,"Ziel    3.3       Bis 2030 die Aids-, Tuberkulose- und Malariaepidemien und die vernachlaessigten Tropenkrankheiten beseitigen und Hepatitis, durch Wasser uebertragene Krankheiten und andere uebertragbare Krankheiten bekaempfen",3.3.4,3.3.4  Hepatitis-B-Inzidenz pro 100.000 Einwohner,,,,,,,
3,"Ziel    3.3       Bis 2030 die Aids-, Tuberkulose- und Malariaepidemien und die vernachlaessigten Tropenkrankheiten beseitigen und Hepatitis, durch Wasser uebertragene Krankheiten und andere uebertragbare Krankheiten bekaempfen",3.3.5,3.3.5  Anzahl der Personen mit Behandlungsbedarf bei vernachlaessigten Tropenkrankheiten,,,,,,,
3,Ziel    3.4       Bis 2030 die Fruehsterblichkeit aufgrund von nichtuebertragbaren Krankheiten durch Praevention und Behandlung um ein Drittel senken und die psychische Gesundheit und das Wohlergehen foerdern,3.4.1,"3.4.1  Sterblichkeitsrate aufgrund von Herz-Kreislauf-Erkrankungen, Krebs, Diabetes oder chronischen Atemwegserkrankungen",,,,,,,
3,Ziel    3.4       Bis 2030 die Fruehsterblichkeit aufgrund von nichtuebertragbaren Krankheiten durch Praevention und Behandlung um ein Drittel senken und die psychische Gesundheit und das Wohlergehen foerdern,3.4.2,3.4.2  Selbstmordsterblichkeitsrate,,,,,,,
3,"Ziel    3.5       Die Praevention und Behandlung des Substanzmissbrauchs, namentlich des Suchtstoffmissbrauchs und des schaedlichen Gebrauchs von Alkohol, verstaerken",3.5.1,"3.5.1  Abdeckung von Behandlungsmassnahmen (pharmakologische, psychosoziale und Rehabilitations- und Nachsorgeleistungen) bei Substanzmissbrauch",,,,,,,
3,"Ziel    3.5       Die Praevention und Behandlung des Substanzmissbrauchs, namentlich des Suchtstoffmissbrauchs und des schaedlichen Gebrauchs von Alkohol, verstaerken",3.5.2,"3.5.2  Schaedlicher Alkoholgebrauch, definiert gemaess den nationalen Gegebenheiten als Alkoholkonsum pro Kopf (15 Jahre und aelter) innerhalb eines Kalenderjahres in Litern puren Alkohols",,,,,,,
3,Ziel    3.6       Bis 2020 die Zahl der Todesfaelle und Verletzungen infolge von Verkehrsunfaellen weltweit halbieren,3.6.1,3.6.1  Sterblichkeitsrate aufgrund von Strassenverkehrsunfaellen,,,,,,,
3,"Ziel    3.7       Bis 2030 den allgemeinen Zugang zu sexual- und reproduktionsmedizinischer Versorgung, einschliesslich Familienplanung, Information und Aufklaerung, und die Einbeziehung der reproduktiven Gesundheit in nationale Strategien und Programme gewaehrleisten",3.7.1,"3.7.1  Anteil der Frauen im reproduktionsfaehigen Alter (15-49 Jahre), die bezogen auf die Familienplanung moderne Methoden nutzen",,,,,,,
3,"Ziel    3.7       Bis 2030 den allgemeinen Zugang zu sexual- und reproduktionsmedizinischer Versorgung, einschliesslich Familienplanung, Information und Aufklaerung, und die Einbeziehung der reproduktiven Gesundheit in nationale Strategien und Programme gewaehrleisten",3.7.2,3.7.2  Geburtenrate von Jugendlichen (10-14 Jahre; 15-19 Jahre) pro 1.000 Frauen derselben Altersgruppe,,,,,,,
3,"Ziel    3.8       Die allgemeine Gesundheitsversorgung, einschliesslich der Absicherung gegen finanzielle Risiken, den Zugang zu hochwertigen grundlegenden Gesundheitsdiensten und den Zugang zu sicheren, wirksamen, hochwertigen und bezahlbaren unentbehrlichen Arzneimitteln und Impfstoffen fuer alle erreichen",3.8.1,"3.8.1  Abdeckung mit grundlegenden Gesundheitsleistungen (definiert als durchschnittliche Abdeckung von Grundversorgungsleistungen basierend auf Behandlungen, die reproduktive, Muetter-, Neugeborenen- und Kindergesundheit, infektioese Krankheiten und nicht uebertragbare Krankheiten sowie Kapazitaeten und Zugang zu Leistungen einschliessen, innerhalb der allgemeinen und meist benachteiligten Bevoelkerung)",,,,,,,
3,"Ziel    3.8       Die allgemeine Gesundheitsversorgung, einschliesslich der Absicherung gegen finanzielle Risiken, den Zugang zu hochwertigen grundlegenden Gesundheitsdiensten und den Zugang zu sicheren, wirksamen, hochwertigen und bezahlbaren unentbehrlichen Arzneimitteln und Impfstoffen fuer alle erreichen",3.8.2,3.8.2  Anteil der Bevoelkerung mit hohen Haushaltsausgaben fuer Gesundheit gegenueber den gesamten Haushaltsausgaben oder -einnahmen,,,,,,,
3,"Ziel    3.9       Bis 2030 die Zahl der Todesfaelle und Erkrankungen aufgrund gefaehrlicher Chemikalien und der Verschmutzung und Verunreinigung von Luft, Wasser und Boden erheblich verringern",3.9.1,3.9.1  Sterblichkeitsrate aufgrund von Luftverschmutzung im Haushalt und der Umgebung,,,,,,,
3,"Ziel    3.9       Bis 2030 die Zahl der Todesfaelle und Erkrankungen aufgrund gefaehrlicher Chemikalien und der Verschmutzung und Verunreinigung von Luft, Wasser und Boden erheblich verringern",3.9.2,"3.9.2  Sterblichkeitsrate aufgrund von verunreinigtem Wasser, unzureichenden sanitaeren Verhaeltnissen und mangelnder Hygiene (Exposition gegenueber unsicheren Wasser-, Sanitaer- und Hygieneversorgungsleistungen gesamt)",,,,,,,
3,"Ziel    3.9       Bis 2030 die Zahl der Todesfaelle und Erkrankungen aufgrund gefaehrlicher Chemikalien und der Verschmutzung und Verunreinigung von Luft, Wasser und Boden erheblich verringern",3.9.3,3.9.3  Sterblichkeitsrate aufgrund von unbeabsichtigten Vergiftungen,,,,,,,
3,Ziel    3.a       Die Durchfuehrung des Rahmenuebereinkommens der Weltgesundheitsorganisation zur Eindaemmung des Tabakgebrauchs in allen Laendern nach Bedarf staerken,3.a.1,3.a.1  Altersstandardisierte Praevalenz des aktuellen Tabakkonsums bei Personen im Alter von 15 Jahren und aelter,,,,,,,
3,"Ziel    3.b       Forschung und Entwicklung zu Impfstoffen und Medikamenten fuer uebertragbare und nichtuebertragbare Krankheiten, von denen hauptsaechlich Entwicklungslaender betroffen sind, unterstuetzen, den Zugang zu bezahlbaren unentbehrlichen Arzneimitteln und Impfstoffen gewaehrleisten, im Einklang mit der Erklaerung von Doha ueber das TRIPS-uebereinkommen und die oeffentliche Gesundheit, die das Recht der Entwicklungslaender bekraeftigt, die Bestimmungen in dem uebereinkommen ueber handelsbezogene Aspekte der Rechte des geistigen Eigentums ueber Flexibilitaeten zum Schutz der oeffentlichen Gesundheit voll auszuschoepfen, und insbesondere den Zugang zu Medikamenten fuer alle zu gewaehrleisten",3.b.1,3.b.1  Anteil der Zielbevoelkerung mit einem Impfschutz entsprechend dem nationalen Programm,,,,,,,
3,"Ziel    3.b       Forschung und Entwicklung zu Impfstoffen und Medikamenten fuer uebertragbare und nichtuebertragbare Krankheiten, von denen hauptsaechlich Entwicklungslaender betroffen sind, unterstuetzen, den Zugang zu bezahlbaren unentbehrlichen Arzneimitteln und Impfstoffen gewaehrleisten, im Einklang mit der Erklaerung von Doha ueber das TRIPS-uebereinkommen und die oeffentliche Gesundheit, die das Recht der Entwicklungslaender bekraeftigt, die Bestimmungen in dem uebereinkommen ueber handelsbezogene Aspekte der Rechte des geistigen Eigentums ueber Flexibilitaeten zum Schutz der oeffentlichen Gesundheit voll auszuschoepfen, und insbesondere den Zugang zu Medikamenten fuer alle zu gewaehrleisten",3.b.2,3.b.2  oeffentliche Nettoentwicklungsausgaben insgesamt fuer medizinische Forschung und grundlegende Gesundheitsversorgung,,,,,,,
3,"Ziel    3.b       Forschung und Entwicklung zu Impfstoffen und Medikamenten fuer uebertragbare und nichtuebertragbare Krankheiten, von denen hauptsaechlich Entwicklungslaender betroffen sind, unterstuetzen, den Zugang zu bezahlbaren unentbehrlichen Arzneimitteln und Impfstoffen gewaehrleisten, im Einklang mit der Erklaerung von Doha ueber das TRIPS-uebereinkommen und die oeffentliche Gesundheit, die das Recht der Entwicklungslaender bekraeftigt, die Bestimmungen in dem uebereinkommen ueber handelsbezogene Aspekte der Rechte des geistigen Eigentums ueber Flexibilitaeten zum Schutz der oeffentlichen Gesundheit voll auszuschoepfen, und insbesondere den Zugang zu Medikamenten fuer alle zu gewaehrleisten",3.b.3,"3.b.3  Anteil der Gesundheitseinrichtungen mit allgemein notwendigen Medikamenten, die verfuegbar und auf nachhaltiger Basis bezahlbar sind",,,,,,,
3,"Ziel    3.c       Die Gesundheitsfinanzierung und die Rekrutierung, Aus- und Weiterbildung und Bindung von Gesundheitsfachkraeften in den Entwicklungslaendern und insbesondere in den am wenigsten entwickelten Laendern und den kleinen Inselentwicklungslaendern deutlich erhoehen",3.c.1,3.c.1  Dichte und Verteilung von medizinischem Fachpersonal,,,,,,,
3,"Ziel    3.d       Die Kapazitaeten aller Laender, insbesondere der Entwicklungslaender, in den Bereichen Fruehwarnung, Risikominderung und Management nationaler und globaler Gesundheitsrisiken staerken",3.d.1,3.d.1  Kapazitaeten fuer internationale Gesundheitsvorschriften (IGV) und Gesundheitsnotfallvorsorge,,,,,,,
4,"Ziel    4.1       Bis 2030 sicherstellen, dass alle Maedchen und Jungen gleichberechtigt eine kostenlose und hochwertige Grund- und Sekundarschulbildung abschliessen, die zu brauchbaren und effektiven Lernergebnissen fuehrt",4.1.1,"4.1.1  Anteil der Kinder und Jugendlichen, die (a) in Klasse 2/3; (b) am Ende der Grundschule; und (c) am Ende der Sekundarstufe I ein Mindestleistungsniveau in (i) Lesen und (ii) Mathematik erreicht haben, nach Geschlecht",,,,,,,
4,"Ziel    4.2       Bis 2030 sicherstellen, dass alle Maedchen und Jungen Zugang zu hochwertiger fruehkindlicher Erziehung, Betreuung und Vorschulbildung erhalten, damit sie auf die Grundschule vorbereitet sind",4.2.1,"4.2.1  Anteil der Kinder unter 5 Jahren mit einer altersgemaessen Entwicklung hinsichtlich Gesundheit, Lernen und psycho-sozialem Wohlbefinden, nach Geschlecht",,,,,,,
4,"Ziel    4.2       Bis 2030 sicherstellen, dass alle Maedchen und Jungen Zugang zu hochwertiger fruehkindlicher Erziehung, Betreuung und Vorschulbildung erhalten, damit sie auf die Grundschule vorbereitet sind",4.2.2,"4.2.2  Teilnahmequote an fruehkindlicher Bildung (ein Jahr vor dem offiziellen Einschulungsalter), nach Geschlecht",,,,,,,
4,"Ziel    4.3       Bis 2030 den gleichberechtigten Zugang aller Frauen und Maenner zu einer erschwinglichen und hochwertigen fachlichen, beruflichen und tertiaeren Bildung einschliesslich universitaerer Bildung gewaehrleisten",4.3.1,"4.3.1  Teilnahmequote von Jugendlichen und Erwachsenen an formaler und non-formaler Bildung und Ausbildung in den vergangenen 12 Monaten, nach Geschlecht",,,,,,,
4,"Ziel    4.4       Bis 2030 die Zahl der Jugendlichen und Erwachsenen wesentlich erhoehen, die ueber die entsprechenden Qualifikationen einschliesslich fachlicher und beruflicher Qualifikationen fuer eine Beschaeftigung, eine menschenwuerdige Arbeit und Unternehmertum verfuegen",4.4.1,"4.4.1  Anteil der Jugendlichen und Erwachsenen mit Kompetenzen bezogen auf Informations- und Kommunikationstechnologie (IKT), nach Kompetenztyp",,,,,,,
4,"Ziel    4.5       Bis 2030 geschlechtsspezifische Disparitaeten in der Bildung beseitigen und den gleichberechtigen Zugang der Schwachen in der Gesellschaft, namentlich von Menschen mit Behinderungen, Angehoerigen indigener Voelker und Kindern in prekaeren Situationen, zu allen Bildungs- und Ausbildungsebenen gewaehrleisten",4.5.1,"4.5.1  Paritaets-Indizes (weiblich/maennlich, rural/urban, unterstes/oberstes Vermoegensquintil und sonstige, wie z. B. Behinderungsstatus, einheimische Bevoelkerung und konfliktbetroffen, sobald Daten verfuegbar sind) fuer alle Bildungsindikatoren in dieser Liste, die disaggregiert werden koennen",,,,,,,
